--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
make_panel_当前没有制作任务,Нет текущих задач по созданию
make_panel_分类,Категория:
make_panel_全部,Все
make_panel_材料,Материалы
make_panel_装备,Снаряжение
make_panel_药品,Зелья
make_panel_其他,Другое
make_panel_筛选,Фильтр:
make_panel_全部等级,Все уровни
make_panel_可制作配方,Доступные рецепты
make_panel_制作需求,Требования для создания
make_panel_队列已满,Очередь заполнена
make_panel_制作,Создать
make_panel_重铸,Перековка
make_panel_制作台,Верстак
make_panel_请先放入主装备,Сначала поместите основное снаряжение
make_panel_主装备,Основное снаряжение
make_panel_放入主装备,Поместить основное снаряжение
make_panel_材料需求,Требования к материалам
make_panel_使用重铸石,Использовать камень перековки
make_panel_放入同名副装备,Поместите дополнительное снаряжение с тем же названием
make_panel_如需使用重铸石请勾选上方开关,"Чтобы использовать камень перековки, отметьте переключатель выше"
make_panel_放入副装备,Поместить дополнительное снаряжение
make_panel_全部取回,Забрать всё
make_panel_预览,Предпросмотр
make_panel_重铸后显示变化,Показать изменения после перековки
make_panel_保留,Сохранить
make_panel_还原,Восстановить
make_panel_未放入主装备,Основное снаряжение не помещено
make_panel_制作队列状态,Статус очереди создания {count}/{max}: {time}
make_panel_已完成数量,Завершено:{completed}/{count}
make_panel_筛选结果数量,Результаты фильтрации {count}
make_panel_物品等级X,Уровень предмета Lv.{level}
make_panel_时间X,Время: {time}
make_panel_队列剩余X,Осталось в очереди {time}
make_panel_需求时间X,Требуемое время: {time}
make_panel_制作数量,Изготовление ({count})
make_panel_等级品质,Уровень {level}  Качество {quality}
make_panel_当前词条种子,Текущий {seed}
make_panel_原词条种子,Исходный {seed}
make_panel_重铸说明,"При перековке снаряжения случайным образом изменяются базовые характеристики, не являющиеся [фиксированными]. После перековки можно выбрать, сохранять ли новые характеристики. Каждая перековка, независимо от того, сохранены ли характеристики, повышает уровень перековки. Чем выше уровень перековки, тем выше вероятность получить лучшие характеристики. Когда уровень перековки достигает 9, снаряжение больше нельзя перековывать."
make_panel_待升华装备,Снаряжение для вознесения
make_panel_装备种子X,Сид снаряжения: {seed}
make_panel_放入可升华装备,Поместите снаряжение для вознесения
make_panel_绑定命石,Привязать Грань
make_panel_命石种子X,Сид Грани: {seed}
make_panel_放入与装备绑定的命石,"Поместите Грань, привязанную к снаряжению"
make_panel_升华材料,Материалы для вознесения
make_panel_放入装备后显示升华材料,Показывать материалы для вознесения после помещения снаряжения
make_panel_当前重铸等级无需补充精华,Текущий уровень перековки не требует пополнения эссенции
make_panel_升华结果,Результат вознесения
make_panel_升华结果说明,После вознесения снаряжение станет снаряжением предков и получит случайные свойства грани.
make_panel_命石与装备不匹配,Грань не подходит к снаряжению
make_panel_放入装备和命石预览,Поместите снаряжение и грань для предпросмотра
make_panel_升华属性变化,Изменение свойств при вознесении
make_panel_无可预览属性变化,Нет изменений свойств для предпросмотра
make_panel_无装备效果,Нет эффекта снаряжения
make_panel_升华,Вознесение
make_panel_固定属性说明,Фиксированные свойства не изменяются при перековке.
make_panel_强化属性说明,Улучшенные свойства были повышены при перековке.
make_panel_强化,Улучшенные
make_panel_神,Божественные
make_panel_无可重铸属性,Нет свойств для перековки
make_panel_基础技能属性,Базовые / свойства навыков
make_panel_神铸,Божественная перековка
make_panel_无固定属性,Нет фиксированных свойств
make_panel_固定,Фиксированные
make_panel_该装备已达到重铸上限,Это снаряжение достигло предела перековки
make_panel_可使用重铸石替代,Можно заменить камнем перековки
make_panel_重铸等级X,Уровень перековки {current}/{max}
make_panel_重铸等级,Уровень перековки
make_panel_可重铸属性,Перековываемые свойства
make_panel_固定属性,Фиксированные свойства
make_panel_reforge_feedback_bad_1,"Ой, молот ушёл в сторону!"
make_panel_reforge_feedback_bad_2,Жар не тот.
make_panel_reforge_feedback_bad_3,Молот пошёл криво!
make_panel_reforge_feedback_bad_4,Температура печи сбилась!
make_panel_reforge_feedback_bad_5,Металл вышел глухим.
make_panel_reforge_feedback_bad_6,Этот удар ушёл впустую.
make_panel_reforge_feedback_bad_7,Искры почернели.
make_panel_reforge_feedback_bad_8,"Не спеши, ещё раз!"
make_panel_reforge_feedback_good_1,Качественная закалка
make_panel_reforge_feedback_good_2,Нагрев в самый раз
make_panel_reforge_feedback_good_3,Уверенный удар
make_panel_reforge_feedback_good_4,Ровная поверхность
make_panel_reforge_feedback_good_5,Узор стал на место
make_panel_reforge_feedback_good_6,Удар уверенный
make_panel_reforge_feedback_good_7,Огонь ровный
make_panel_reforge_feedback_good_8,Неплохой результат
make_panel_reforge_feedback_great_1,Идеальный ритм
make_panel_reforge_feedback_great_2,Узор блестит!
make_panel_reforge_feedback_great_3,Отличный удар!
make_panel_reforge_feedback_great_4,Искры в линию!
make_panel_reforge_feedback_great_5,Звонкий удар!
make_panel_reforge_feedback_great_6,Узор расправился!
make_panel_reforge_feedback_great_7,Закалка прекрасна!
make_panel_reforge_feedback_great_8,Отличная техника!
make_panel_reforge_feedback_perfect_1,Божественная ковка!
make_panel_reforge_feedback_perfect_2,Идеальный ритм
make_panel_reforge_feedback_perfect_3,Горн слушается!
make_panel_reforge_feedback_perfect_4,Решающий удар!
make_panel_reforge_feedback_perfect_5,Золотой узор проявился!
make_panel_reforge_feedback_perfect_6,Идеальный жар!
make_panel_reforge_feedback_perfect_7,Душа скована!
